"","X_SynCom_A_T42_repeat_L1","X_SynCom_B_T42_repeat_L1","X_SynCom_C_T42_repeat_L1","X_SynCom_A_T53_repeat_L1","X_SynCom_B_T53_repeat_L1","X_SynCom_C_T53_repeat_L1","X_SynCom_A_T71_repeat_L1","X_SynCom_B_T71_repeat_L1","X_SynCom_C_T71_repeat_L1","X_R12_A_T77_repeat_L1","X_R12_B_T77_repeat_L1","X_R12_C_T77_repeat_L1","X_R12_A_T95_repeat_L1","X_R12_B_T95_repeat_L1","X_R12_C_T95_repeat_L1","X_SynCom_A_T95_repeat_L1","X_SynCom_B_T95_repeat_L1","X_SynCom_C_T95_repeat_L1","X_R12_A_T119_repeat_L1","X_R12_B_T119_repeat_L1","X_R12_C_T119_repeat_L1","X_R12_A_T216_repeat_L1","X_R12_B_T216_repeat_L1","X_R12_C_T216_repeat_L1"
"FW510-R12_contig_1_2875",8.60245319971514,8.72495470549368,8.75514648241977,8.81613373873737,8.75418187372695,8.68096761750521,8.99149494252543,8.91802686219995,8.83522425842686,8.89441075246907,8.68454125384284,8.96313532030881,8.93115325422639,8.92027600161657,9.00981545724569,9.01540229490162,8.95811532244675,9.01162587994743,9.2395585718378,9.0551630193484,8.93936725370491,9.36598291690752,9.11015531626122,9.187993251897
"FW510-R12_contig_1_2876",7.71352151407241,7.79883011820722,7.6918523399073,7.59429007658554,7.1878198665139,2.1197029013369,7.63936322365977,7.52286811191912,7.85861107305149,7.66178936803282,7.66635615984706,7.7269501305736,7.66632396542795,7.60912996199366,7.56905977505885,7.91873510283197,7.47793574619678,7.86865147940167,7.95460268631291,7.80118148811613,7.84838262364093,8.04087658604885,7.87735179637495,7.87666275871736
"FW510-R12_contig_1_2877",9.96671142004739,9.76784457372724,9.92540234762598,9.97062755817659,9.84211708604896,9.66573138012732,9.69385276026314,9.85310873269744,9.78037404143409,9.69694328182241,9.84205938483087,9.78295125834065,9.70591909942203,9.61261613905542,9.69191796033201,9.76954176582062,9.83653760499007,9.70744746477951,9.89850301734995,9.8755957890054,9.70452839438839,10.078958714985,10.0153696915265,10.0963606291181
"FW510-R12_contig_1_2878",10.2311474221421,10.1612384284906,10.2741628448657,10.5292359279703,10.1266906027186,9.88592744892737,10.3828781745795,10.3855743933476,10.4264487667656,9.86849607104992,10.12532513111,10.1621686052019,10.1594815610664,10.1525420503244,10.1111784966566,10.2373079477985,10.2210649355708,10.1920151376067,10.3063032663383,10.2712918598929,10.3266433663026,10.6540351328719,10.6961606036316,10.7563673565829
"FW510-R12_contig_1_2879",10.5842883399859,10.5532798561675,10.4917224516017,10.8457770792495,10.7659239530884,10.9784009899306,10.8495810470829,10.9956640919643,10.9754611586847,10.8237167838361,10.6885269391469,10.7373218635441,10.8422916412924,10.7913247499255,10.6339236266199,10.7674588568746,10.8839951725533,10.8174897969807,10.9197350481205,10.8613635370889,10.6433276056946,11.1501505741662,11.1118251957561,11.1690302466975
"FW510-R12_contig_1_288",4.24555050593743,4.25470759918273,4.15322427656259,4.9539919966506,4.95207032467892,2.1197029013369,5.40579094955719,5.18791362038004,5.0693800735551,4.8485887574813,4.19543532397389,4.43823250250713,4.74332504799433,4.59217133519851,4.96386484619196,5.60466999174261,5.32985428900714,5.16228436121192,5.08096548793496,4.95567770048348,5.04992497357558,6.18065775924555,6.40510391512723,6.23250433748975
"FW510-R12_contig_1_2880",9.82021153653545,9.42484163113955,9.34558642203398,10.6635743430149,10.4957806382652,10.8793082190423,10.2986536346856,10.411266566271,10.5433677584521,10.4447025739941,10.59574519015,10.4343426977131,10.0349431700392,9.98051611557053,9.96573426796967,10.3969584980646,10.5404275387159,10.4591486319244,9.78087490523381,9.87732806407519,9.85259274758402,9.21852880634197,8.73034308933059,9.17228880023583
"FW510-R12_contig_1_2881",10.2253369534437,10.2036485410222,9.96750183655507,10.7026026178167,10.443422282596,10.2455612578883,10.4647309741663,10.5820020296118,10.4528823498033,10.11543920055,10.6007056287529,10.4684532753487,10.268196248503,10.1838552988096,10.2212841848234,10.510638254563,10.6506975379209,10.4065978601591,10.3344095368776,10.367279747666,10.1235245376552,10.5028940408204,10.4982655161673,10.562605167617
"FW510-R12_contig_1_2882",8.57224955310262,8.51644078270452,8.58739536156284,8.32183320439258,8.02356866395603,2.1197029013369,7.74302635313222,8.16572253781141,7.80963187305364,7.91742551705099,7.86562164769744,8.04984137696285,8.20927110442804,8.01812149228304,8.10173976280987,8.13682921101884,8.11988625406105,8.10951652305185,8.02974044954475,7.80604187230376,8.04578819925872,7.05032709033067,7.03403946767024,6.83371456825607
"FW510-R12_contig_1_2883",9.41317651328726,9.62119027116978,9.4851034005454,9.6091186238154,9.22309957387039,9.66573138012732,9.20978847999765,9.32661959969542,9.2951720417337,9.06454337553422,9.28779711194303,9.13696310048912,9.44380855968181,9.32592682367908,9.31094725165031,9.18156405291139,9.14516223095061,9.13583771124375,9.01596153607949,9.17362571465751,9.12952760962088,8.51681948707803,8.46686584127005,8.30482124303413
"FW510-R12_contig_1_2884",10.26363855346,9.98116393029649,10.2116562837599,10.2830577830839,10.0035149979895,9.40576349625112,10.1453902459532,10.0332604468574,9.97374047832011,9.65789918312025,9.84325578684376,9.7472086182462,9.96128824692118,9.89480222645868,9.84657118948103,10.1408301593742,10.2739955589558,10.0846099289435,9.83201143687456,9.81723152249487,9.97813993186099,9.66776272554417,9.60005504719041,9.6154868817928
"FW510-R12_contig_1_2885",9.5681191412799,9.28436704313825,9.22418001748039,9.74448949037847,9.80570938808676,10.2455612578883,9.50777731490252,9.65481792486846,9.68857289368969,9.23119104530831,9.47541532822626,9.47489726240075,9.46284458004245,9.36671364398622,9.44613519092817,9.6627220937534,9.81805945222432,9.77078059146159,9.28486828392443,9.30814078829918,9.33899583629475,9.24684837944115,9.05060692743262,9.05239864481411
"FW510-R12_contig_1_2886",9.01098308778319,8.64512884935109,9.00864352469946,8.58246621749081,8.63472503091801,8.11100537947656,8.48494519007558,8.39514018168259,8.02722286297649,8.78842652583971,8.93739115645048,8.82300002216101,8.43254971936808,8.48316139712352,8.70941595436694,8.6340592114461,8.67290137223531,8.86962372318638,8.05829749454731,8.39525837497258,8.36037920408693,6.29391829159921,6.43116771719766,6.34918200460076
"FW510-R12_contig_1_2887",11.269877318539,11.1340033540708,11.5756786214691,11.6305704265456,11.5393462873964,11.3181313243734,11.9057337450371,11.6526775869966,11.6331217713131,12.049979436969,12.0286864412382,11.9288920279616,11.6364822629771,11.5530022271726,11.5836359103507,12.0166167412382,12.103974682302,12.1360409983415,11.4775549413355,11.3079230414038,11.3826806027174,9.94956263156351,9.80903946992369,9.85212717488989
"FW510-R12_contig_1_2888",10.3064638566071,9.9713784922052,10.2662480394641,10.7609159291072,11.0054614684132,10.0769219749278,11.2587030411247,11.0085930271788,11.6511004732272,11.3332698655409,11.3246271541506,11.5443233605696,11.2039459549019,11.0925029251345,11.0109252867674,10.8992157407542,11.0666173155545,11.3051057621853,11.1270199260557,10.9821932470462,11.0376661372778,9.18546782055407,8.84598736607385,8.75991926899007
"FW510-R12_contig_1_2889",11.086528452567,10.9200677158351,11.0271274097085,11.2041298260312,11.1540427295315,10.7729038037434,10.9291808500346,10.7829186149648,10.6133070802785,11.0750182300724,11.264499705716,11.1760328910027,10.897268497408,10.754842674374,10.8609913944984,11.0483074124807,10.7716570534095,11.0381013364048,10.5650154618168,10.6597317202307,10.5141401810124,9.49807079303804,9.48065922592279,9.46892628642635
"FW510-R12_contig_1_289",7.56186254717522,7.64311232486767,7.98985831326502,7.86014675976197,7.92515111010566,2.1197029013369,8.11942211488373,8.24855678591754,8.0514983092001,7.51285491333809,7.65549531920864,7.34479829945227,7.79405532055995,7.67868501586328,7.69199311213671,8.27402128856696,8.15467251897001,8.09395691965693,8.12627256343117,8.10513293775194,8.07170186725261,9.32482632453733,9.41378292158839,9.30371640777603
"FW510-R12_contig_1_2890",12.3178126606236,12.0858318292705,12.3499045219656,12.6834229395822,12.619508394605,12.3530883748385,12.7613153408322,12.6693255693887,12.7394495040157,12.3697442586725,12.5190883042151,12.6167999166936,12.4615313900323,12.3439924488595,12.5254028954153,12.8847822961143,13.0775237903809,13.1348066941839,12.3941254554088,12.3334837438752,12.5022266748091,11.5293679271379,11.2861935788341,11.3318656162448
"FW510-R12_contig_1_2891",7.51179494199224,7.64311232486767,7.41935814735007,7.85175057947194,7.89079354242433,8.68096761750521,7.81139549153141,7.95986998406384,8.01493013879684,8.34785891622996,8.44549037543845,8.41462204928943,8.03637460658556,8.01078580274943,7.9386157336615,8.03431834271718,8.25883822714325,8.3511785735481,7.41357662001022,7.67667583334255,7.73762250622205,6.98450745548378,6.96445571509605,7.00580903831172
"FW510-R12_contig_1_2892",9.59239897581299,9.40559209260912,9.38996936447385,9.97642990211697,10.4900560028341,9.66573138012732,9.45076047456161,9.81511843713066,9.84775071968751,9.88901295585172,10.2491852844963,10.12783453779,9.82127793108574,9.67426122815314,9.82279701300352,9.82641198938755,9.98057429503539,9.99392685686571,9.42637979495188,9.74506601966651,9.65159245439727,9.36598291690752,9.07141970927697,9.25980928324748
"FW510-R12_contig_1_2893",7.48609334500369,6.93553537515275,6.61863309514555,7.60432245461707,7.1878198665139,7.15466782171565,7.39388259313127,7.43123589694342,7.40093727279717,8.33553820858611,8.43441755435109,8.26736376097206,8.04618165900606,7.75970109592655,7.77897363375756,7.90295218969684,7.64807190507592,7.62334111657392,7.5090014660997,7.86078934260262,8.08165496072836,7.25556525136035,7.5495545309075,7.17761540228202
"FW510-R12_contig_1_2894",9.69686825828068,9.60440458103517,9.38996936447385,9.9783588422836,9.97100467341715,9.66573138012732,9.91741739083733,9.95115566863821,9.78218802804379,10.8419753730913,10.8857503746201,10.877351160638,10.4046511357338,10.3240848904655,10.3111297994383,10.2857675526873,10.4662261055454,10.446954849704,10.2354688801024,10.058748412311,9.83840980104413,9.13007322756347,8.87941907702393,9.33629481920332
"FW510-R12_contig_1_2895",12.4968908466484,12.4310294979549,12.3484995857302,13.4165469623474,12.7207455956397,13.0667501919388,13.5525800697638,13.2892315522577,13.3305569642044,14.3194362943934,14.2471299713804,14.3003199381937,13.8942279649328,13.7878126241015,13.8498970502766,13.9402731628766,14.1414674380176,14.1230555832374,13.4453443145326,13.2740114101461,13.1449422563237,11.7710225061697,11.197151454201,11.6357465659978
"FW510-R12_contig_1_2896",9.95739427273487,10.0540587100338,9.8974918749149,10.6623750271293,10.3705173808413,10.3965345405983,10.4857961776115,10.5899644536953,10.5315540602364,10.3360499107551,10.4328467183581,10.3627589661359,10.1699820593267,10.0126907129734,10.252437550684,10.6280576094288,10.6722894800449,10.775037616178,10.2033812607902,10.2307630814988,10.2521324932399,9.82495531248528,9.79534360029283,9.98005064862319
"FW510-R12_contig_1_2897",10.8068140314886,10.8127360753083,11.0387891835126,11.1674018393963,11.2953203169199,11.1582433045622,11.5562384341976,11.4178923838052,11.3978443635913,11.5074108055483,11.4011547224838,11.4386455548905,11.2627660744473,11.365690978694,11.2111314754818,11.4733375446163,11.6808593704943,11.6081320510207,11.324819902239,11.2350382172245,11.2232743944557,10.2615460407791,10.3451728899101,10.2226244632075
