target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_1745,112,63,78,108,25,0,187,123,117,318,340,173,454,338,353,203,174,142,357,410,544,0,1,0,182,211,169
FW510-R12_contig_1_1746,168,155,152,200,46,2,293,166,213,307,426,262,771,515,685,307,219,232,618,659,1093,11,5,3,247,353,284
FW510-R12_contig_1_1747,131,78,104,127,35,0,253,110,144,333,359,156,596,370,516,179,140,142,444,521,682,2,4,0,271,325,296
FW510-R12_contig_1_1748,1189,696,1027,2593,726,33,4439,2260,4133,12149,17395,8316,13162,7930,11200,4071,4797,6141,8661,10300,15924,45,80,20,2030,2145,1918
FW510-R12_contig_1_1749,311,179,347,806,269,11,1657,770,1362,6719,6004,3370,4771,2750,3961,1459,1627,2180,2917,2779,4204,12,23,7,535,656,564
FW510-R12_contig_1_175,1050,661,853,889,237,13,1593,802,1089,2517,3300,1646,3990,2722,3334,1241,1192,1040,2623,2970,4149,24,54,13,768,822,685
FW510-R12_contig_1_1750,1281,707,1041,2205,638,19,4573,2329,3336,7143,9043,4304,10015,6320,7479,3855,4302,4518,7049,6898,8884,11,52,6,1171,1257,991
FW510-R12_contig_1_1751,493,289,496,806,223,10,1701,833,1089,2951,3933,1911,3488,2294,2933,1383,1670,1640,2462,2491,3636,26,53,17,676,625,551
FW510-R12_contig_1_1752,478,276,509,596,148,6,1313,524,684,2804,3361,1725,2869,1918,2365,1199,1433,1319,1936,1769,2399,7,56,7,311,311,280
FW510-R12_contig_1_1753,2806,1865,2715,4036,1113,54,8531,3959,5827,16987,19226,9611,21080,13905,18328,8722,8456,8787,12630,13871,18120,27,111,13,3287,3248,2638
