target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_2421,2148,1548,1441,2883,478,24,7413,3925,4622,4452,6756,3934,17276,13456,17314,8358,6460,5995,20576,19681,25893,247,767,167,18574,18936,18566
FW510-R12_contig_1_2422,353,294,333,386,90,2,585,387,436,655,1033,446,1561,969,1192,472,399,430,1225,1470,2170,10,29,7,1500,1370,1309
FW510-R12_contig_1_2423,97,62,85,100,17,0,139,87,101,332,328,185,393,306,285,125,74,110,366,347,479,5,7,1,124,150,129
FW510-R12_contig_1_2424,931,607,978,1235,260,11,2134,1067,1253,3568,3878,1998,4866,3332,3636,1731,1588,1270,3810,3950,5435,75,159,35,2284,2545,2240
FW510-R12_contig_1_2425,954,714,1056,909,175,7,1871,878,1073,1979,2410,1265,3680,2445,3328,1568,1209,1139,3267,3352,4945,24,39,15,1344,1409,1365
FW510-R12_contig_1_2426,208,172,196,276,64,6,467,215,266,495,570,296,981,640,895,401,367,317,851,987,1254,2,8,2,489,582,416
FW510-R12_contig_1_2427,300,206,307,292,63,4,509,286,326,638,1005,402,1216,799,983,420,373,353,1013,1081,1348,15,36,13,415,469,358
FW510-R12_contig_1_2428,724,465,672,745,159,7,1372,785,1004,1746,1942,941,3190,2185,2573,1118,994,856,2901,2558,3943,6,14,3,1059,1339,1093
FW510-R12_contig_1_2429,186,152,241,246,36,3,408,228,265,413,621,324,885,629,746,289,248,209,652,826,1087,7,10,2,581,601,528
FW510-R12_contig_1_243,3214,2426,3108,3385,720,31,7215,3375,4243,12589,14233,7299,17650,11755,14893,5169,5410,5279,13413,12988,17655,69,222,31,3329,3766,3268
FW510-R12_contig_1_2430,43,40,58,64,28,0,124,55,96,161,165,76,223,197,200,119,72,76,142,217,282,0,2,0,58,88,53
FW510-R12_contig_1_2431,410,265,394,532,148,4,913,482,541,928,1464,677,1945,1324,1665,849,753,617,1473,1494,2307,18,70,1,350,459,362
FW510-R12_contig_1_2432,148,90,129,167,44,0,270,152,165,549,496,232,741,440,518,211,189,182,516,568,875,16,10,17,492,529,366
FW510-R12_contig_1_2433,81,59,85,61,18,0,158,91,93,277,275,125,380,252,319,122,92,101,232,301,368,2,6,3,214,268,198
FW510-R12_contig_1_2434,1556,1318,1529,1697,375,16,3199,1638,2161,3814,4740,2396,7891,5437,6860,2460,2212,2277,6601,6929,10137,86,99,52,2364,2992,2378
FW510-R12_contig_1_2435,234,185,224,204,66,4,346,191,209,553,771,430,996,669,800,245,283,283,855,891,1536,15,12,9,152,155,115
FW510-R12_contig_1_2436,61,42,55,71,19,0,83,35,57,204,201,106,346,184,221,87,70,63,237,209,327,3,1,2,124,129,120
FW510-R12_contig_1_2437,29,15,32,31,15,0,56,30,33,89,85,40,107,89,102,51,22,37,105,122,130,3,0,2,61,66,53
FW510-R12_contig_1_2438,120,96,128,117,31,0,252,132,159,315,249,103,520,360,429,221,138,165,433,467,693,5,2,0,275,309,261
FW510-R12_contig_1_2439,154,121,142,189,33,1,256,167,215,219,263,151,579,325,463,228,180,153,420,468,848,8,14,5,240,262,214
FW510-R12_contig_1_244,951,668,779,1042,278,10,1507,863,1120,3021,2679,1516,3691,2671,3030,1392,1292,1316,2498,2965,4488,9,19,7,1649,1847,1374
FW510-R12_contig_1_2440,119,81,73,160,30,0,138,128,196,250,307,129,407,270,363,178,145,199,442,486,544,57,48,37,220,253,197
FW510-R12_contig_1_2441,5711,4909,6265,7735,1598,83,17305,8406,10366,14272,15393,7713,26440,17900,22903,14516,10281,9630,23097,24739,33577,637,1260,297,28950,32854,27487
FW510-R12_contig_1_2442,56,65,78,92,17,0,154,77,105,229,238,125,368,232,314,125,90,85,276,285,327,8,12,10,155,237,218
FW510-R12_contig_1_2443,209,159,179,236,47,3,518,218,323,1319,1102,527,1150,800,939,430,319,380,877,933,1375,13,21,8,930,1025,850
FW510-R12_contig_1_2444,348,294,363,398,102,1,782,356,512,2845,2473,1100,2260,1529,1560,600,604,602,1555,1636,2372,229,214,121,1436,1468,1322
FW510-R12_contig_1_2445,792,649,847,1087,258,13,2370,1090,1413,3184,3547,1840,4611,3077,3581,1739,1809,1743,3769,3589,4994,18,100,12,1279,1470,1223
FW510-R12_contig_1_2446,6,2,1,8,1,0,5,10,10,14,14,8,28,17,17,5,6,4,17,9,26,0,1,0,14,26,15
FW510-R12_contig_1_2447,0,0,4,4,1,0,0,0,2,2,1,0,3,0,8,1,0,1,3,7,3,0,0,0,3,2,0
FW510-R12_contig_1_2448,12,22,10,23,3,0,18,16,17,37,42,13,46,39,50,21,14,13,38,49,54,5,1,1,24,36,22
FW510-R12_contig_1_2449,71,56,59,57,12,1,50,45,50,184,131,52,155,96,128,79,56,29,99,127,209,20,11,7,53,62,57
FW510-R12_contig_1_245,43,21,35,50,6,0,63,32,58,134,172,55,174,139,153,73,59,69,136,131,205,5,6,1,96,99,74
FW510-R12_contig_1_2450,92,60,59,81,24,1,108,77,88,309,293,141,305,230,280,88,79,73,223,255,400,69,29,55,146,137,114
FW510-R12_contig_1_2451,1334,990,1308,1737,331,17,2345,1249,1380,2194,3408,1678,5440,3425,4218,1856,1522,1426,3735,4186,5784,5,9,1,1705,1898,1533
FW510-R12_contig_1_2452,451,378,490,677,127,6,628,385,527,1042,1680,858,1833,1175,1536,430,455,488,1085,1225,2016,6,12,5,255,265,197
FW510-R12_contig_1_2453,110,74,121,131,29,1,164,108,122,213,376,174,429,308,325,178,87,124,307,395,486,5,3,5,311,332,307
FW510-R12_contig_1_2454,39,34,36,27,11,0,54,27,35,85,103,28,136,112,134,59,18,27,156,115,227,5,3,0,123,130,121
FW510-R12_contig_1_2455,269,209,241,356,68,4,584,270,379,1669,1166,598,1919,1432,969,421,347,303,1023,1378,1360,7,19,8,1037,1185,968
FW510-R12_contig_1_2456,348,252,338,462,90,5,775,462,626,992,1043,557,1740,1149,1454,638,543,616,1318,1325,2101,49,42,28,393,435,371
FW510-R12_contig_1_2457,126,101,79,134,39,1,210,117,177,290,386,188,523,292,413,189,139,119,307,444,686,6,5,6,131,167,156
FW510-R12_contig_1_2458,28,24,22,26,16,0,51,34,54,60,75,49,111,79,93,58,58,29,55,93,121,2,0,0,33,34,37
FW510-R12_contig_1_2459,1309,892,1268,1429,444,16,3052,1708,2093,4625,4651,2169,6353,4585,5374,2602,2573,2062,4553,5026,7431,25,69,11,5288,4858,4056
FW510-R12_contig_1_246,12,20,15,17,4,0,29,16,33,60,61,34,87,57,74,11,16,24,74,77,110,3,2,0,44,61,41
FW510-R12_contig_1_2460,290,229,329,386,106,5,763,427,478,1325,1509,658,1893,1283,1423,656,627,512,1285,1412,1644,12,34,7,610,760,607
FW510-R12_contig_1_2461,597,428,481,838,167,8,1864,939,1312,2266,2781,1508,4342,3274,3712,1557,1370,1481,4170,3887,5527,40,61,15,2822,2959,3010
FW510-R12_contig_1_2462,2,7,2,6,7,0,5,5,7,9,9,2,23,10,12,2,3,7,13,10,9,1,0,0,7,12,8
FW510-R12_contig_1_2463,122,95,124,180,49,2,337,192,228,649,760,441,845,561,723,346,364,305,580,650,926,7,21,1,330,433,331
FW510-R12_contig_1_2464,223,161,191,206,49,1,253,127,152,637,914,463,795,626,748,250,189,202,493,621,939,5,13,4,222,230,176
FW510-R12_contig_1_2465,820,568,1020,905,250,11,1533,753,847,3430,4949,2428,4622,3011,3822,1298,1320,1378,3098,3279,4753,22,41,10,851,1056,921
FW510-R12_contig_1_2466,126,86,121,122,46,2,256,150,137,435,576,345,570,451,476,192,163,177,459,457,739,6,6,0,138,153,148
FW510-R12_contig_1_2467,536,314,425,649,196,6,1034,546,883,2278,3150,1418,2747,1933,2057,975,853,872,1718,1823,3033,7,11,0,650,754,521
FW510-R12_contig_1_2468,58,32,51,65,16,1,90,55,67,205,351,142,278,163,253,91,55,62,151,195,209,2,7,1,91,93,121
FW510-R12_contig_1_2469,275,166,321,340,75,3,700,345,412,1703,2297,991,1871,1343,1417,618,717,645,1412,1387,1593,11,33,8,314,352,317
FW510-R12_contig_1_247,151,99,136,141,34,0,236,154,210,328,375,208,591,362,441,187,191,162,372,389,703,3,1,2,131,174,149
FW510-R12_contig_1_2470,510,372,430,840,199,10,1436,796,1293,3562,4753,1979,4150,2723,3131,1242,1407,1593,2867,2876,4786,96,69,52,803,1045,762
FW510-R12_contig_1_2471,83,39,58,105,21,1,117,76,89,426,605,306,348,262,329,113,133,118,196,237,430,9,7,4,103,100,104
FW510-R12_contig_1_2472,135,89,116,175,48,1,218,142,218,734,968,472,784,590,623,187,183,204,438,565,761,1,2,2,243,204,194
FW510-R12_contig_1_2473,4045,3160,3771,3276,767,27,4891,2600,3573,15845,16947,8673,17812,12952,14678,4037,4282,4593,11927,11356,15052,64,211,39,3542,3579,3262
FW510-R12_contig_1_2474,6572,5002,7592,7618,1846,77,14701,6160,7499,31327,36702,18764,37191,24504,29937,11644,11593,11531,25838,24803,33355,125,618,86,8354,8643,8054
FW510-R12_contig_1_2475,808,594,965,1079,269,14,2462,1127,1373,3269,4342,2045,4175,2911,3776,1938,2229,2108,3400,3236,4905,5,40,3,1248,1265,999
FW510-R12_contig_1_2476,1962,1217,1708,2857,801,15,4801,2718,3506,8668,11604,5332,11285,7143,9325,4481,4094,4393,6665,7967,12793,32,55,15,2590,2925,2816
FW510-R12_contig_1_2477,96,59,69,128,35,3,246,141,151,435,399,161,596,389,435,210,176,208,396,444,643,7,11,10,195,236,221
FW510-R12_contig_1_2478,95,52,57,263,48,1,286,175,316,352,678,288,1109,610,1200,463,419,682,736,1141,569,1,2,1,122,148,169
FW510-R12_contig_1_2479,232,126,161,731,201,13,2169,1068,2238,5875,6630,3194,7980,4276,6379,2419,2669,3382,4363,5018,7360,13,21,0,1052,1187,1137
FW510-R12_contig_1_248,120,66,79,149,34,1,256,127,166,268,236,169,500,337,608,192,137,131,422,495,727,10,15,2,150,151,151
FW510-R12_contig_1_2480,155,140,169,258,50,3,733,426,418,817,1245,521,2546,1836,1972,758,512,543,2529,2699,4995,51,143,16,7821,10727,11072
FW510-R12_contig_1_2481,279,309,343,450,99,6,1765,841,961,2497,2762,1440,5698,4365,4408,1671,1512,1226,5968,6570,8674,117,309,61,21784,24516,24538
FW510-R12_contig_1_2482,172,104,140,177,38,1,318,209,238,583,619,354,830,563,651,249,230,256,647,684,891,9,6,3,354,411,362
FW510-R12_contig_1_2483,141,113,113,174,59,6,452,164,344,2178,1468,1193,3611,2114,1814,279,334,465,705,669,1003,457,372,206,297,439,324
FW510-R12_contig_1_2484,116,107,114,146,41,0,298,143,159,759,883,569,1402,953,855,235,213,277,519,628,652,9,18,8,258,382,324
FW510-R12_contig_1_2485,156,124,181,140,41,1,278,110,130,759,833,572,1556,901,846,222,245,237,529,560,736,15,38,11,284,296,260
FW510-R12_contig_1_2486,174,135,165,148,40,0,223,123,220,729,917,577,1411,921,863,228,197,322,539,681,960,10,9,2,237,265,278
FW510-R12_contig_1_2487,3619,2540,3172,4786,986,50,7695,3920,6066,16195,18565,9303,20515,14432,15683,6353,5879,5557,12296,14158,21772,46,125,29,5340,5266,4885
FW510-R12_contig_1_2488,425,237,393,608,117,11,667,379,660,1921,2872,1322,1496,1025,1156,591,621,619,756,966,1539,4,8,4,125,158,119
FW510-R12_contig_1_2489,5470,4427,6069,4623,1090,54,7214,3615,4450,23241,23831,13205,26242,18487,18552,5137,4928,4568,13367,14008,20477,28,157,13,1384,1227,1082
FW510-R12_contig_1_249,259,158,257,288,97,4,441,249,318,808,816,471,1157,793,875,401,345,330,914,1017,1369,6,14,3,603,656,508
FW510-R12_contig_1_2490,513,350,548,579,134,10,1053,539,691,1609,1700,846,2414,1548,1915,775,790,719,1828,2039,2491,4,29,11,700,834,692
FW510-R12_contig_1_2491,65,47,92,105,14,0,159,71,94,148,216,97,304,190,229,126,107,102,267,288,390,5,5,3,103,106,96
FW510-R12_contig_1_2492,1021,643,805,2192,566,27,3304,1760,2427,7394,12424,5932,8531,5709,6227,2605,2569,3023,5045,6047,8916,52,46,16,1142,963,1124
FW510-R12_contig_1_2493,809,580,676,1447,419,11,2029,1210,1457,5397,9200,3798,5578,3532,4171,1884,1921,1937,2997,3818,5181,33,70,14,757,675,701
FW510-R12_contig_1_2494,1313,980,1383,2180,563,28,3488,1616,2222,9719,13472,6811,9503,6006,7618,2633,3019,2952,5876,6001,9108,12,59,14,1120,1063,1033
FW510-R12_contig_1_2495,321,255,324,588,142,6,1156,447,494,4033,4454,2166,3465,2160,2634,768,903,929,2340,2091,3030,7,55,6,453,487,488
FW510-R12_contig_1_2496,1209,970,1144,1614,234,10,2466,1005,1410,7439,9024,4404,7335,4738,6132,2126,1896,1978,5092,4798,6481,18,91,10,1257,1448,1215
FW510-R12_contig_1_2497,2593,1691,2034,2664,682,22,3410,1681,2428,14494,19499,8748,13437,8899,9956,2886,3007,3020,7787,7876,11674,94,190,54,1858,1764,1543
FW510-R12_contig_1_2498,756,493,620,769,197,8,898,517,698,4672,6769,2915,4839,3209,3611,829,896,913,3008,2819,4208,21,18,11,509,438,460
FW510-R12_contig_1_2499,699,487,657,901,194,9,901,569,832,4942,7133,3396,5131,3411,3697,821,880,944,2657,2856,2836,9,8,6,511,477,440
FW510-R12_contig_1_25,25,20,25,31,12,0,58,29,43,197,178,78,155,123,98,46,37,37,132,85,160,3,0,0,35,46,42
FW510-R12_contig_1_250,1401,1171,1125,1790,307,10,2226,1188,1335,4481,5582,2398,7265,4807,5105,1594,1318,1409,4313,5312,6698,113,139,50,2791,2939,2564
FW510-R12_contig_1_2500,801,507,595,847,229,3,1014,563,738,5109,7394,3270,4662,3195,3332,857,846,920,2385,2549,3721,14,21,2,300,270,285
FW510-R12_contig_1_2501,1606,1158,1387,1915,390,20,2496,1221,1536,9929,13996,6732,10033,6784,7763,1919,2128,2270,6476,6356,8839,42,58,20,808,664,706
FW510-R12_contig_1_2502,851,664,774,1213,252,10,1907,955,1239,3777,4259,2353,4695,3170,4218,1820,1595,1730,3984,3706,5510,36,44,18,2113,2440,1955
FW510-R12_contig_1_2503,703,504,681,704,144,11,1289,695,796,1189,1614,858,2735,1945,2243,957,845,778,2302,2619,3447,30,57,7,1881,2094,1861
FW510-R12_contig_1_2504,287,139,221,405,104,1,779,498,641,1367,1879,775,2187,1388,1533,830,797,902,1413,1385,2057,2,17,6,246,295,228
FW510-R12_contig_1_2505,429,304,441,607,164,3,1572,653,950,2158,2561,1167,3901,2514,2601,1233,1325,1173,2709,2673,3812,44,91,19,1161,1391,1101
FW510-R12_contig_1_2506,501,327,475,631,122,9,1169,558,727,1099,1889,967,2521,1569,2316,1109,957,1005,2105,2351,3516,23,24,7,1518,1707,1506
FW510-R12_contig_1_2507,288,154,254,177,48,0,241,124,169,743,1048,556,1224,742,829,285,277,281,648,667,981,3,19,2,116,158,143
FW510-R12_contig_1_2508,413,322,413,360,63,0,596,223,299,1417,1880,935,2019,1375,1710,529,514,522,1211,1198,1696,4,13,4,274,306,230
FW510-R12_contig_1_2509,158,101,176,201,50,1,323,159,159,798,928,387,727,474,584,302,317,288,445,438,544,2,13,3,139,152,128
FW510-R12_contig_1_251,55,44,63,121,27,1,290,100,222,465,628,355,1177,919,547,104,108,177,505,418,428,71,77,32,211,172,201
FW510-R12_contig_1_2510,1241,815,1320,1975,528,21,4759,2063,2822,11626,12455,5635,11231,7284,8257,4107,4697,4703,6667,6586,8809,139,335,69,1473,1670,1486
FW510-R12_contig_1_2511,132,99,107,215,48,1,262,185,232,987,1065,660,1867,1389,1243,318,267,256,898,1230,1718,15,24,9,988,856,867
FW510-R12_contig_1_2512,107,78,100,107,32,3,188,105,103,227,302,133,429,290,348,138,124,120,320,397,445,2,3,0,99,127,106
FW510-R12_contig_1_2513,120,76,101,121,28,3,181,68,136,229,297,129,438,255,380,166,125,133,352,374,622,2,3,2,87,91,59
FW510-R12_contig_1_2514,64,60,39,148,33,2,301,115,226,413,654,391,855,513,466,130,132,105,553,591,806,3,2,0,68,59,75
FW510-R12_contig_1_2515,713,563,705,789,153,9,1237,675,859,2005,2403,1235,3229,2230,2811,1008,973,934,2788,2719,3681,12,27,5,1715,2034,1744
FW510-R12_contig_1_2516,98,73,108,102,40,3,203,98,118,313,416,199,509,329,383,155,145,171,405,446,585,4,6,0,193,247,181
FW510-R12_contig_1_2517,142,83,110,108,27,2,176,92,175,391,532,248,534,380,389,188,165,177,363,391,505,10,6,1,201,212,202
FW510-R12_contig_1_2518,889,635,1066,818,242,14,1739,933,964,2191,2613,1343,3484,2249,2746,1400,1129,1092,2739,2816,4007,21,57,10,1318,1366,1087
FW510-R12_contig_1_2519,237,146,194,402,121,3,786,424,793,1598,2322,1082,2351,1463,1317,578,732,835,1397,1530,1969,1,10,1,147,150,140
FW510-R12_contig_1_252,2454,2191,2681,3487,924,39,9067,4122,5431,11461,11947,7068,20508,11732,15434,7710,7543,8500,18656,17177,21905,170,436,136,13419,16456,14001
FW510-R12_contig_1_2520,373,198,355,397,121,6,746,401,474,1222,1663,751,1758,1078,1494,627,650,643,1020,1156,1283,0,7,0,237,243,204
FW510-R12_contig_1_2521,121,84,99,282,71,3,594,275,453,1198,1662,940,1752,1055,1233,465,526,642,1143,1292,1688,20,26,7,467,409,335
FW510-R12_contig_1_2522,81,38,50,151,28,5,263,137,189,853,826,437,1391,926,902,290,211,226,677,905,1404,36,90,24,786,966,852
FW510-R12_contig_1_2523,144,97,133,106,38,0,227,118,155,397,281,147,481,389,483,202,145,120,420,509,608,9,4,1,411,433,376
FW510-R12_contig_1_2524,161,247,210,413,138,1,1689,997,1262,860,931,376,1426,833,1050,1109,606,856,1181,1623,2148,75,75,46,902,864,671
FW510-R12_contig_1_2525,41,13,50,37,14,0,39,32,39,76,87,45,122,101,114,23,48,52,97,137,169,0,6,0,31,51,42
FW510-R12_contig_1_2526,35,38,54,49,7,0,55,36,55,73,132,54,162,134,144,54,31,45,90,162,202,1,0,1,85,69,73
FW510-R12_contig_1_2527,44,47,50,43,14,0,93,52,67,95,136,35,258,155,186,64,30,42,176,189,228,8,11,9,135,153,124
FW510-R12_contig_1_2528,827,623,855,937,133,5,1685,754,1021,2761,2956,1400,5214,3658,3885,1200,1151,963,3629,3757,4284,52,119,26,3528,3956,3467
FW510-R12_contig_1_2529,138,107,143,182,26,4,287,156,238,464,510,229,790,577,651,238,138,209,531,601,816,7,12,2,301,359,317
FW510-R12_contig_1_253,560,413,502,627,115,5,1027,572,695,2939,3680,1821,3726,2688,3014,973,891,967,2463,2460,3455,37,60,21,1155,1249,1248
FW510-R12_contig_1_2530,652,492,645,551,145,9,1114,501,621,1549,1899,1059,3012,1990,2387,918,905,768,2221,2181,3120,31,65,8,831,861,736
FW510-R12_contig_1_2531,195,147,216,272,45,5,410,236,270,560,805,439,1070,755,878,469,356,399,775,770,1284,15,9,6,239,216,167
FW510-R12_contig_1_2532,563,476,560,561,124,8,1317,595,709,1230,1511,796,2596,1795,2128,959,797,700,2438,2244,3330,25,50,16,738,986,773
FW510-R12_contig_1_2533,1141,892,1095,1061,239,5,1787,1014,1248,1910,2131,1106,4289,2906,3413,1233,1193,1088,3759,3890,5383,26,42,12,1643,1744,1503
FW510-R12_contig_1_2534,347,260,344,403,115,8,836,398,612,792,893,625,1480,1096,1371,778,633,693,1493,1463,2356,16,19,11,1161,1155,1017
FW510-R12_contig_1_2535,186,171,219,295,50,6,691,394,473,771,589,349,1213,801,1184,645,534,608,1080,1105,1687,20,30,6,924,1165,910
FW510-R12_contig_1_2536,1328,1010,1597,1581,415,11,2606,1282,1776,2878,3736,2090,4898,3395,4677,2200,2088,2301,3628,3773,6283,21,48,8,1690,1660,1331
FW510-R12_contig_1_2537,518,418,553,685,170,6,1651,850,1148,1935,1529,985,2889,1912,2659,1289,1169,1183,2501,2315,3298,16,35,8,1566,1670,1312
FW510-R12_contig_1_2538,1304,1043,1310,1556,400,16,3039,1547,2291,4496,4286,2470,7176,4551,5770,2103,1968,2035,4969,5374,6821,51,56,25,2655,2524,2324
FW510-R12_contig_1_2539,589,415,572,624,94,6,1064,511,659,1041,1121,587,2042,1451,1644,883,608,534,1801,1892,2889,25,48,12,1365,1574,1302
FW510-R12_contig_1_254,251,188,199,197,43,0,315,172,237,1017,1414,655,1276,855,1138,266,266,260,748,713,1227,5,12,4,169,169,162
FW510-R12_contig_1_2540,363,298,337,425,94,4,754,416,570,554,735,346,1858,1272,1414,624,692,547,1806,1867,2280,57,80,27,1976,2329,1845
FW510-R12_contig_1_2541,370,302,370,413,97,3,918,501,586,1240,1180,580,2027,1505,1559,638,607,544,1655,1778,2560,25,46,16,1512,1674,1432
FW510-R12_contig_1_2542,102,79,102,101,25,3,164,82,128,356,423,207,556,377,447,144,135,93,372,352,390,5,1,0,105,138,109
FW510-R12_contig_1_2543,18,36,34,58,15,1,55,49,57,112,201,83,244,142,185,97,43,109,196,261,302,4,8,5,157,217,172
FW510-R12_contig_1_2544,367,272,313,378,61,1,818,455,574,1440,1626,772,2204,1502,1583,861,768,708,2144,2269,3029,67,47,24,2225,2911,2385
FW510-R12_contig_1_2545,4,5,2,11,4,0,14,8,16,6,33,8,55,55,55,16,6,10,48,65,55,3,2,7,141,134,150
FW510-R12_contig_1_2546,151,90,137,119,43,3,206,115,132,230,334,190,524,434,438,145,85,108,372,383,648,0,4,2,164,199,204
FW510-R12_contig_1_2547,287,257,286,399,75,3,666,330,437,874,850,429,1601,1068,1361,553,512,400,1338,1281,1786,11,14,3,762,893,738
FW510-R12_contig_1_2548,545,437,507,587,128,11,823,464,569,812,1169,570,1935,1266,1714,666,622,621,1866,1928,2691,28,34,10,760,879,756
FW510-R12_contig_1_2549,138,115,137,147,25,3,328,175,186,426,489,205,697,466,566,248,210,207,609,630,922,6,5,7,292,326,295
FW510-R12_contig_1_255,3370,2425,3724,4938,1127,41,10355,4742,5809,21354,26948,12694,26239,17870,21986,9286,9371,9053,19403,18451,24595,154,771,102,5837,6507,6025
FW510-R12_contig_1_2550,165,72,117,123,32,0,168,108,134,206,279,165,435,296,427,189,193,165,342,396,655,5,9,0,116,124,82
FW510-R12_contig_1_2551,151,113,201,241,59,6,322,180,153,435,707,324,988,683,660,285,235,185,656,682,983,9,19,2,116,113,132
FW510-R12_contig_1_2552,75,50,81,141,48,1,261,140,200,558,551,356,700,523,689,284,261,273,511,562,622,2,3,0,196,246,211
FW510-R12_contig_1_2553,395,322,379,590,108,4,1098,640,884,2091,2182,1068,2815,1907,2259,947,1022,949,2207,2419,2839,59,74,40,907,1082,883
FW510-R12_contig_1_2554,188,120,209,270,79,5,408,266,287,645,1147,459,1051,688,995,422,478,429,847,881,1297,11,32,5,244,309,235
FW510-R12_contig_1_2555,13,3,10,16,7,0,13,8,20,28,42,28,46,32,33,15,45,10,38,30,91,0,1,1,8,14,14
FW510-R12_contig_1_2556,354,211,298,357,91,1,537,332,531,716,794,422,1215,886,1102,429,361,462,873,1168,1243,13,15,4,354,461,310
FW510-R12_contig_1_2557,110,65,48,130,21,2,157,99,111,225,181,110,336,237,313,105,120,107,278,285,479,12,9,9,151,195,152
FW510-R12_contig_1_2558,12,14,16,13,3,2,26,9,18,27,45,19,49,43,42,19,29,28,42,68,75,2,0,0,33,34,27
FW510-R12_contig_1_2559,22,13,9,21,6,0,42,24,16,54,66,23,91,57,75,36,21,35,111,98,147,4,2,1,44,41,52
FW510-R12_contig_1_256,240,134,244,154,60,1,411,308,411,893,748,382,1238,823,942,406,397,322,924,1101,1676,15,15,10,690,672,457
FW510-R12_contig_1_2560,18,9,16,11,6,0,35,28,29,17,50,23,62,33,58,31,33,31,62,47,80,0,0,0,48,43,52
FW510-R12_contig_1_2561,17,9,20,33,4,0,61,31,38,554,437,242,1102,672,559,87,55,34,317,643,944,7,27,5,449,513,403
FW510-R12_contig_1_2562,2430,1710,2136,3694,848,38,7058,3379,4290,13333,17235,8129,14619,9409,11545,5241,5137,5023,10268,10198,13815,44,236,34,3799,3989,3718
FW510-R12_contig_1_2563,452,351,403,577,156,4,928,468,649,1974,2386,1115,2085,1394,1782,812,964,733,1593,1563,2060,27,58,14,523,604,572
FW510-R12_contig_1_2564,1338,982,1218,1598,312,10,3573,2186,2571,1693,1431,664,5234,3675,5136,4095,2916,2584,5990,5936,7141,192,239,95,7306,8201,6787
FW510-R12_contig_1_2565,1827,1375,1675,2151,605,38,5291,3346,4007,1137,1588,909,7378,5060,5661,4923,4187,3574,9498,8920,11710,102,168,45,9000,9759,7710
FW510-R12_contig_1_2566,171,165,186,330,96,1,613,364,424,169,262,162,862,581,588,550,537,487,1258,1193,1605,48,32,16,912,946,796
FW510-R12_contig_1_2567,55,37,50,62,23,0,107,66,85,40,73,41,161,110,140,133,95,143,254,253,365,6,4,2,193,202,217
FW510-R12_contig_1_2568,52,32,53,86,16,1,129,64,89,186,277,131,307,189,238,125,113,137,247,293,362,2,3,1,94,84,80
FW510-R12_contig_1_2569,189,145,202,215,60,4,377,218,289,837,1174,497,1073,697,880,322,202,262,553,795,1227,11,14,11,285,328,212
FW510-R12_contig_1_257,257,166,318,228,85,4,654,291,328,675,640,331,1352,951,1037,644,527,378,1035,1144,1754,8,19,10,630,688,542
FW510-R12_contig_1_2570,142,111,172,249,56,1,1061,486,602,12625,11593,4700,7792,5366,3198,492,432,456,2450,2861,4459,7760,5232,4255,2637,3888,3135
FW510-R12_contig_1_2571,216,174,275,320,85,7,654,313,385,2643,2735,1339,2510,1641,1513,379,456,391,1150,1651,2765,24,44,13,1425,2008,1524
FW510-R12_contig_1_2572,44,35,34,43,9,0,75,30,74,244,299,154,275,224,203,54,43,55,223,224,443,0,2,1,156,313,202
FW510-R12_contig_1_2573,135,132,138,216,56,2,375,161,231,857,1138,464,1257,872,920,264,175,183,712,1029,1418,19,58,6,727,999,721
FW510-R12_contig_1_2574,3922,2427,3407,5452,1067,48,10655,5823,7587,8957,11489,5681,22118,14337,17403,10254,8905,8485,18663,19230,22398,253,580,132,11982,11136,10046
FW510-R12_contig_1_2575,2210,1490,2271,3041,803,37,7399,4323,4573,4773,6065,3244,13256,9056,10987,6894,5967,5180,12721,13504,19341,321,465,160,9806,8895,8639
FW510-R12_contig_1_2576,55,35,41,51,11,1,93,53,67,137,124,64,247,169,188,78,69,60,208,232,281,3,3,3,120,120,112
FW510-R12_contig_1_2577,858,572,879,822,187,6,1270,717,949,2009,2338,1231,3131,2210,2530,881,867,822,2240,2357,3509,4,28,10,548,649,444
FW510-R12_contig_1_2578,260,200,264,293,54,1,340,191,291,613,484,261,691,496,587,235,240,215,596,557,870,2,2,0,406,414,339
FW510-R12_contig_1_2579,921,802,1066,1063,294,12,1781,887,1305,4909,3250,1721,3997,2828,3276,1144,1095,1080,2807,2655,3955,427,419,329,2205,2284,1877
