"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GW101-3H11_contig_1_3080",354.726049820092,-0.0228997079952452,0.137698546827229,0.85782978751641,0.926112770830004
"GW101-3H11_contig_1_3081",69.1036889526408,0.054441538907746,0.212596117018221,0.761216818027053,0.870442408948697
"GW101-3H11_contig_1_3082",165.708610520128,0.161693189587965,0.161353256161247,0.271900570561519,0.449748055613277
"GW101-3H11_contig_1_3083",549.370311114652,-0.0103204956244688,0.130985905416069,0.93252883227986,0.962046612893466
"GW101-3H11_contig_1_3084",376.159067338104,0.0273657544515272,0.147369066900903,0.842936843031682,0.917360935050741
"GW101-3H11_contig_1_3085",466.955911611185,0.123653460227565,0.145573539951261,0.360124441969239,0.543693569916822
"GW101-3H11_contig_1_3086",238.6319764885,0.32882764501852,0.164007181279392,0.0271085456614804,0.0803204157936448
"GW101-3H11_contig_1_3087",394.336315125851,0.170852905678333,0.146242477800816,0.20683946712512,0.373426647280556
"GW101-3H11_contig_1_3088",365.290888949779,-0.531085116712261,0.200876375855228,0.00266249007916915,0.0121682870425675
"GW101-3H11_contig_1_3089",896.696915390492,0.0953037113424603,0.123019206069198,0.412006657800404,0.590163291935584
"GW101-3H11_contig_1_309",207.500136246044,0.713691148536141,1.14554937832435,0.0187357584381475,0.0599205599112864
"GW101-3H11_contig_1_3090",329.778454137657,-0.11945488666321,0.15270977971241,0.393653637848056,0.573914102972122
"GW101-3H11_contig_1_3091",71.4593208761545,-0.672037527786425,0.286129030808651,0.00374760961930927,0.0161160226163699
"GW101-3H11_contig_1_3092",496.414855780234,-0.901089924224024,0.190642670407029,3.37327286737016e-07,4.48021281097903e-06
"GW101-3H11_contig_1_3093",41.8687536198091,-0.0785928673292156,0.261819251795465,0.685136484995415,0.817280555421932
"GW101-3H11_contig_1_3094",16.365663234554,-0.015853306770716,0.308411192798567,0.931264088074974,0.962046612893466
"GW101-3H11_contig_1_3095",28.9832354685257,-0.302250669276298,0.296463874318032,0.158300592311439,0.308640472617725
"GW101-3H11_contig_1_3096",2509.41655828922,-0.309989934212309,0.13555857506481,0.0143320653732503,0.0482344102303545
"GW101-3H11_contig_1_3097",5721.26503166544,-0.368149158429389,0.113208016831175,0.000689693192521277,0.00386072324943549
"GW101-3H11_contig_1_3098",149.962516546558,-0.174199620501325,0.189672397468545,0.291761168554627,0.47096279863787
"GW101-3H11_contig_1_3099",837.822374625711,-0.276986515614567,0.14586403836369,0.0397391845571845,0.107636916509728
"GW101-3H11_contig_1_31",464.587360286145,-0.307884304265946,0.2101827354412,0.0842473818858271,0.19101214181345
"GW101-3H11_contig_1_310",108.088821358723,0.258132547996546,0.428026006609492,0.178050614916816,0.336665170342712
"GW101-3H11_contig_1_3100",408.796229027954,-0.286595846477295,0.132444000246972,0.0207857746626354,0.065116204182824
"GW101-3H11_contig_1_3101",21256.7915728829,-0.825429279146369,0.120819396982711,2.03517432103387e-12,6.1104567190314e-11
"GW101-3H11_contig_1_3102",501.238948323058,0.381326747554558,0.142202192910586,0.00400848624633437,0.0170748416718319
"GW101-3H11_contig_1_3103",542.066983576457,0.0810911849307871,0.127367388479546,0.503141812056778,0.671126692765019
"GW101-3H11_contig_1_3104",619.632353822916,0.152674050189928,0.127190106702005,0.203650847036359,0.370233503199311
"GW101-3H11_contig_1_3105",44.3279313232838,-0.115762308506101,0.27877929751608,0.558068179965616,0.720922577698102
"GW101-3H11_contig_1_3106",134.785947690584,0.477046140747774,0.178922842751057,0.00302697380444223,0.0134974151460007
"GW101-3H11_contig_1_3107",5862.75374607324,-0.500417861336329,0.150267855294504,0.000330696029249196,0.00206591189016459
"GW101-3H11_contig_1_3108",2834.1732860146,-0.179999065221693,0.198090539907832,0.290366754075841,0.469170547844657
"GW101-3H11_contig_1_3109",52.5266835787249,0.440528864022685,0.257708387149183,0.0335009492428505,0.0942975582665235
"GW101-3H11_contig_1_311",267.686916954406,0.626132477163006,0.393898968775745,0.0199609313843566,0.0629449102979649
"GW101-3H11_contig_1_3110",229.161062075279,-0.022538505237703,0.167128557555463,0.88018141698229,0.934508945505844
"GW101-3H11_contig_1_3111",228.432282203806,0.195832827457502,0.203119578587576,0.26005399760969,0.435386111577697
"GW101-3H11_contig_1_3112",664.564026695079,-0.122289080086814,0.166253529648508,0.413773782041813,0.591726277861345
"GW101-3H11_contig_1_3113",1224.70557075341,-0.120448011801692,0.132918862346763,0.333525259449258,0.517957409188598
"GW101-3H11_contig_1_3114",941.548201744567,-0.0849092935289453,0.129084324250661,0.47891018514541,0.65018390167453
"GW101-3H11_contig_1_3115",1355.7850046459,-0.104653194641922,0.136653052217769,0.412065972306255,0.590163291935584
"GW101-3H11_contig_1_3116",5738.00410304126,-0.339328716484379,0.0982963202284464,0.000345900750595776,0.0021423566197394
"GW101-3H11_contig_1_3117",11218.9781476634,-0.0122764181208138,0.109118784813548,0.908199516673725,0.949603293710771
"GW101-3H11_contig_1_3118",2752.69747867285,-0.337017221957511,0.12172393644587,0.00344168961760839,0.0150103076790403
"GW101-3H11_contig_1_3119",494.53023562157,0.152223983316566,0.135187146285652,0.229838152466581,0.400921903985718
"GW101-3H11_contig_1_312",1394.3116141296,-0.119431099911086,0.149053075603048,0.384254523126808,0.565098247723007
