"","X_3H11_A_T42_repeat_L1","X_3H11_B_T42_repeat_L1","X_3H11_C_T42_repeat_L1","X_SynCom_A_T42_repeat_L1","X_SynCom_B_T42_repeat_L1","X_SynCom_C_T42_repeat_L1","X_3H11_A_T53_repeat_L1","X_3H11_B_T53_repeat_L1","X_3H11_C_T53_repeat_L1","X_SynCom_A_T53_repeat_L1","X_SynCom_B_T53_repeat_L1","X_SynCom_C_T53_repeat_L1","X_SynCom_A_T71_repeat_L1","X_SynCom_B_T71_repeat_L1","X_SynCom_C_T71_repeat_L1","X_SynCom_A_T95_repeat_L1","X_SynCom_B_T95_repeat_L1","X_SynCom_C_T95_repeat_L1"
"GW101-3H11_contig_1_1025",4.91031756379029,4.80673144375684,4.57200128735135,4.77469846107069,4.84168624576271,5.11651265502563,5.49304542825097,5.58270029763227,4.86822363077577,5.23063494399445,5.96337387366328,1.38696872066301,5.4391750082151,5.25585538526739,4.7725565986387,5.38225959271833,4.84194663619607,5.35103353177588
"GW101-3H11_contig_1_1026",4.71044266966411,4.40094558029801,4.47037771773476,4.92212011239922,4.64234590715434,4.75104964784104,5.35848450993323,4.5096345759502,4.70890453987229,4.17032419236418,3.75881452912819,1.38696872066301,3.79572342503275,3.89754891744878,4.30644310449896,3.62594090188157,3.65338008533074,4.26113490160077
"GW101-3H11_contig_1_1027",5.01511370947139,5.21684581831864,5.40717265997082,6.44722281996179,6.86810578300573,6.82094894971121,4.85646652784506,5.95969115233039,3.78808958331726,4.34840514438399,4.86928755232197,5.48752594400415,4.30394575544804,5.14698950721746,5.04279972480298,6.1093882665584,6.07271364617253,6.11865155294356
"GW101-3H11_contig_1_1028",2.59056980618153,3.29922070534609,3.04125114720916,2.98893178928738,2.95024151273324,2.23684073113847,3.66482293114254,3.559483165698,1.38696872066301,3.43118693336671,2.66848544398612,5.48752594400415,2.05558093534621,2.5647838948602,3.19202033260656,2.7608243183387,3.06356451443169,3.26717573946816
"GW101-3H11_contig_1_1029",9.49311417240291,9.78743127623707,9.66237080978948,8.84817462716548,9.29334009542959,8.97000628524968,9.21093676385939,9.52555799693567,9.30989896430057,9.58237314687907,9.92196305234676,9.57208753400231,10.6121484121869,10.5658153874362,10.5254849778386,10.4487436896967,10.5407438854868,10.6601387167414
"GW101-3H11_contig_1_103",5.78772523385191,6.13555130660723,6.52391652900455,5.42766481231929,5.58320350700621,5.63508457118198,6.54017894507409,6.18907300737857,7.37140263474993,5.90821680743428,6.5088648797327,5.48752594400415,4.91480346191509,5.18420791859948,4.86846466743183,6.6027410187649,6.17492920184508,5.48917146859899
"GW101-3H11_contig_1_1030",5.78772523385191,5.93424585604464,5.81267141704872,5.8255398460171,5.90233779972408,5.87837952800551,5.72933114608925,6.11660195690754,6.9448578353966,5.52646357066076,5.41002072594456,1.38696872066301,5.29893371487023,5.70245834570905,5.23442867159311,5.87770736931966,5.57066223794983,5.55354667278684
"GW101-3H11_contig_1_1031",5.5895974787423,5.84064983715603,5.8925590573076,5.98215755843256,5.96890695867036,5.74623519993698,4.38449899540413,5.78353075488767,6.3363353060151,5.03908063149439,5.07316709221914,6.40469985381532,5.18961164303261,5.45148794548771,5.30441633665944,6.3088794352456,5.50926383142584,5.67422643753645
"GW101-3H11_contig_1_1032",7.61544471583408,7.46854261232846,7.26686793552167,6.89188948325673,7.00111956787458,7.14530048394961,8.02756753304946,7.06275020264355,8.05237691581887,7.73180700239249,7.97685193246736,8.14830488310729,8.04576152409164,8.16977166755175,8.08023010091373,7.50449336432138,7.85311096192488,7.64602690643197
"GW101-3H11_contig_1_1033",8.54505066392485,8.49997779665263,8.60985309703103,8.23758727430531,8.15279584053246,8.02874491707438,7.88850595465526,8.41263979582636,7.82093658254648,8.84368722792786,8.96191416619241,8.50500060785411,8.6160047684554,8.53476690727598,8.61025556801227,8.64909240472501,8.68941975004733,8.68926001184414
"GW101-3H11_contig_1_1034",7.98112124959163,8.98703977347748,9.21771398161422,10.0094658697933,10.1054587173344,9.52342967104365,4.85646652784506,6.85591019113399,6.79556927532307,8.89383377949993,8.92315780557998,8.91486859267764,9.35876387975985,9.15669929918761,9.35396370467834,10.4461024009546,10.3929076800611,10.6148082964859
"GW101-3H11_contig_1_1035",7.71591573223884,7.99423316093894,7.89298035097699,8.08212741572646,8.00544997078917,7.85771626792488,10.5995597534002,10.5788511596634,10.3313286717726,8.20262196981872,8.16578414450416,6.96043038744908,7.57343775879796,7.91834051755552,7.47915910056047,8.11392785566617,7.99941032865258,8.11333796540688
"GW101-3H11_contig_1_1036",8.04572147328415,7.96217394554154,7.7967906778326,7.92337999330559,7.89357703088709,8.02357476433586,9.85839230475665,8.76016832828232,9.11106981687037,8.48715565814906,9.34087173283752,8.33765002859311,8.27613249277506,8.9519133731964,8.48083611620066,8.10055213405038,7.81567497232022,7.86414680146363
"GW101-3H11_contig_1_1037",7.65048822782773,7.72535853461998,7.62068030276045,7.80901733741205,7.78156554897653,7.83870706996238,7.91263400117621,8.3027610000461,8.0358342023996,8.01251669353926,8.07440918321436,7.36051695535678,8.4107119773056,8.46502917814396,8.53617853329306,8.36202947141026,8.46602854979517,8.6749078579745
"GW101-3H11_contig_1_1038",4.65573179662798,4.48045276151079,4.05622007649413,4.50966418815511,4.78328466715459,4.34387985563884,4.38449899540413,5.06973981678167,5.56846842658226,4.23225592121141,4.63112874914082,1.38696872066301,4.57375235518227,5.14698950721746,5.1981060369558,3.81962722730853,4.73810445585594,4.47826319339497
"GW101-3H11_contig_1_1039",6.89023626560147,6.87322074728263,6.95393958327326,7.10422517591072,6.97548069290683,6.94102837181556,7.09849241680149,7.60282404898153,8.06873205402725,6.54486290061051,6.73468968931923,1.38696872066301,6.25968479399351,6.30063373974167,6.51997434988373,6.21258783167375,6.15505881731411,6.11865155294356
"GW101-3H11_contig_1_104",7.81602781239948,7.99256348132309,7.74403018979526,7.79221545130045,7.7741512370064,7.90205979583907,6.02376990393063,5.58270029763227,5.56846842658226,7.7681125767165,7.95139559299022,5.48752594400415,7.72542892688776,7.76182195866933,7.77134551923955,8.0870512171565,7.9599197885114,7.92605747106851
"GW101-3H11_contig_1_1040",7.32279904048897,7.53658681769451,7.28175344252842,8.25301767080758,8.24952858428235,8.07695860414107,6.26804368759177,6.25806856218484,7.2037816344637,7.04525710768366,7.07841235446533,6.96043038744908,7.18274639374069,7.10656027368507,6.92591580774825,7.13617877499345,7.58295556764364,7.49079038557529
