	acetate (total)	no3 (total)	no2 (total)	no (total)	n2o (total)	n2 (total)	leu (total)	pyr (total)	for (total)	succ (total)	fum (total)	i (total)	acetate (3H11)	no3 (3H11)	no2 (3H11)	no (3H11)	n2o (3H11)	n2 (3H11)	leu (3H11)	pyr (3H11)	for (3H11)	succ (3H11)	fum (3H11)	i (3H11)	growth (3H11)	acetate (R12)	no3 (R12)	no2 (R12)	no (R12)	n2o (R12)	n2 (R12)	leu (R12)	pyr (R12)	for (R12)	succ (R12)	fum (R12)	i (R12)	growth (R12)
10	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	10	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	10	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	10	2.391024e-06
11	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	11	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	11	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	11	2.391024e-06
12	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	12	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	12	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	12	2.391024e-06
13	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	13	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	13	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	13	2.391024e-06
14	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	14	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	14	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	14	2.391024e-06
15	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	15	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	15	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	15	2.391024e-06
16	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	16	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	16	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	16	2.391024e-06
17	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	17	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	17	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	17	2.391024e-06
18	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	18	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	18	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	18	2.391024e-06
19	0.00796337	0.015765185	4.4060328845824115e-05	0	-0.007904622664422913	0.0	0	0	0	0	0	19	-0.00796337	-0.015522479169136844	0.015522479169136844	0	0.0	0.0	0	-0.007718702904200517	-3.8257356248711985e-08	0.007832753756813419	0	19	1.5940160000000001e-06	0.0	-0.0002427058308631571	-0.015566539497982668	0.0	0.007904622664422913	0	0	0.007718702904200517	3.8257356248711985e-08	-0.007832753756813419	0	19	2.391024e-06
